Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,ML_Condition_ID,Independent_Experimental_ML_sample,Leakage_Group_Strict,Leakage_Group_Material,Physical_Batch_ID,Replicate_ID,Replicate_n,Replacement_Aware_Role
P002,10.1016/j.msea.2020.140441,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A600_RT,True,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,,,3,EXACT_REPLACEMENT_COUNT_SOURCE
P002,10.1016/j.msea.2020.140441,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A700_RT,True,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,,,3,EXACT_REPLACEMENT_COUNT_SOURCE
P002,10.1016/j.msea.2020.140441,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,P002_MC_A800_RT,True,P002_SERIES01,P002_MAT_FE40MN10CO20CR20NI10,,,3,EXACT_REPLACEMENT_COUNT_SOURCE
