Paper_ID,DOI,Study_Series_ID,Material_Parent_ID,ML_Condition_ID,Anneal_T_C,Anneal_Time_min,Post_Anneal_Quench,Test_T_Raw,Test_T_K,Strain_Rate_s-1,Independent_Experimental_ML_sample,Grain_Size_um,Condition_Grid_Status
P021,10.1016/j.jallcom.2021.162765,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_MC_A900_5M_RT_G10,900,5,Water quench,25 C,298,0.001,True,10,EXACT_SOURCE_DEFINED_CONDITION
P021,10.1016/j.jallcom.2021.162765,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_MC_A900_25M_RT_G19,900,25,Water quench,25 C,298,0.001,True,19.5,EXACT_SOURCE_DEFINED_CONDITION
P021,10.1016/j.jallcom.2021.162765,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_MC_A1000_20M_RT_G41,1000,20,Water quench,25 C,298,0.001,True,40.9,EXACT_SOURCE_DEFINED_CONDITION
P021,10.1016/j.jallcom.2021.162765,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_MC_A1000_150M_RT_G150,1000,150,Water quench,25 C,298,0.001,True,149.6,EXACT_SOURCE_DEFINED_CONDITION
P021,10.1016/j.jallcom.2021.162765,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_MC_A1000_20M_77K_G41,1000,20,Water quench,liquid nitrogen / 77 K,77,0.001,True,40.9,EXACT_SOURCE_DEFINED_CONDITION
