Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,DeltaG_FCC_HCP_J_mol,109,J/mol,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,YS_MPa,191.0,MPa,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,UTS_MPa,484.0,MPa,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Elongation_pct,80.0,%,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Initial_HCP_fraction,0,fraction,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Initial_Sigma3_TB_fraction,0.528,fraction,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Grain_size_um,40,um,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Grain_Size_Including_TB_as_HAB_um,26,um,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,FCC_lattice_a_XRD_A,3.634,A,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_MO,P012_MC_MO_RT,P012_OBS_MO_RT_condition,Effective_TWIP,1.0,binary,VERIFIED_WORKBOOK,Sec.3.2 pp.5-6; Sec.3.4 pp.7-10; Conclusions p.18,High,VERIFIED
