Target,Evidence_Pool,M2_n,Positive_n,Negative_n,Positive_Group_n,Negative_Group_n,Validation_Status,Selected_Design_ID,M0_DUMMY_MOST_FREQUENT_MCC_mean,M0_DUMMY_MOST_FREQUENT_Balanced_Accuracy_mean,M0_DUMMY_MOST_FREQUENT_Recall_Class_0_mean,M1_LOGISTIC_BALANCED_MCC_mean,M1_LOGISTIC_BALANCED_Balanced_Accuracy_mean,M1_LOGISTIC_BALANCED_Recall_Class_0_mean,M2_RANDOM_FOREST_BALANCED_MCC_mean,M2_RANDOM_FOREST_BALANCED_Balanced_Accuracy_mean,M2_RANDOM_FOREST_BALANCED_Recall_Class_0_mean,M3_SVC_RBF_BALANCED_MCC_mean,M3_SVC_RBF_BALANCED_Balanced_Accuracy_mean,M3_SVC_RBF_BALANCED_Recall_Class_0_mean
T1_TRIP,ALL_VERIFIED_USABLE,18,17,1,6,1,NOT_CURRENTLY_VALIDATABLE,,,,,,,,,,,,,
T1_TRIP,STRICT_DIRECT_EVIDENCE_ONLY,14,13,1,5,1,NOT_CURRENTLY_VALIDATABLE,,,,,,,,,,,,,
T2_ANY_TWIP,ALL_VERIFIED_USABLE,18,13,5,6,3,VALID,T2_ANY_TWIP__ALL_VERIFIED_USABLE__GROUP_KFOLD_K3,0.0,0.5,0.0,0.21081851067789195,0.6333333333333333,0.3333333333333333,0.0,0.5,0.0,-0.14907119849998599,0.4444444444444444,0.0
T2_ANY_TWIP,STRICT_DIRECT_EVIDENCE_ONLY,17,12,5,5,3,VALID,T2_ANY_TWIP__STRICT_DIRECT_EVIDENCE_ONLY__GROUP_KFOLD_K3,0.0,0.5,0.0,0.21081851067789195,0.6333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.5,0.0
T2_FCC_TWIP_STRICT,ALL_VERIFIED_USABLE,9,4,5,1,3,NOT_CURRENTLY_VALIDATABLE,,,,,,,,,,,,,
