Column_Name,Scientific_Family,Schema_Role,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action
PostTest_Phase_Fraction_Method,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,2,2.899,False,EXCLUDE
PostTest_Evidence_Status,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,7,10.145,False,EXCLUDE
PostTest_Predictor_Eligibility,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,7,10.145,False,EXCLUDE
PostTest_Twin_Evidence,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,2,2.899,False,EXCLUDE
PostTest_Slip_Evidence,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,2,2.899,False,EXCLUDE
PostTest_GND_Evidence_Status,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,2,2.899,False,EXCLUDE
PostTest_IPF_Evidence_Status,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,2,2.899,False,EXCLUDE
TRIP_Onset_True_Stress_MPa,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,1,1.449,False,EXCLUDE
TRIP_Onset_Engineering_Stress_Approx_MPa,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,1,1.449,False,EXCLUDE
TRIP_Onset_Strain_Approx_pct,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,1,1.449,False,EXCLUDE
WH_Rate_at_Slope_Change_MPa,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,1,1.449,False,EXCLUDE
TRIP_Onset_Evidence_Status,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,7,10.145,False,EXCLUDE
TRIP_Onset_Predictor_Eligibility,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,7,10.145,False,EXCLUDE
WH_Rate_Predictor_Eligibility,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,7,10.145,False,EXCLUDE
Direct_Stage_Fabrication_Status,MODEL_DERIVED_RESPONSE,LEAKAGE_MODEL_DERIVED,7,10.145,False,EXCLUDE
ThermoCalc_Software,COMPUTATIONAL_ONLY,COMPUTATIONAL_ONLY,7,10.145,False,EXCLUDE
ThermoCalc_Database,COMPUTATIONAL_ONLY,COMPUTATIONAL_ONLY,7,10.145,False,EXCLUDE
ThermoCalc_Context_Status,COMPUTATIONAL_ONLY,COMPUTATIONAL_ONLY,7,10.145,False,EXCLUDE
ThermoCalc_Observation_Safeguard,COMPUTATIONAL_ONLY,COMPUTATIONAL_ONLY,7,10.145,False,EXCLUDE
SFE_Transfer_Safeguard,PROVENANCE_QC,METADATA_ONLY,7,10.145,False,EXCLUDE
DeltaG_Transfer_Safeguard,PROVENANCE_QC,METADATA_ONLY,7,10.145,False,EXCLUDE
Phase_Specific_TWIP_Safeguard,TARGET,TARGET_ONLY,7,10.145,False,EXCLUDE
QC_V17_Row_Role,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Experimental_Eligibility,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Computational_Eligibility,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Replacement_Status,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_TRIP_Status,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_TWIP_Status,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Target_Integrity,TARGET,TARGET_ONLY,69,100.0,False,EXCLUDE
QC_V17_Provenance_Status,PROVENANCE_QC,PROVENANCE_ONLY,69,100.0,False,EXCLUDE
QC_V17_Leakage_Risk,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Tier,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Feature_Schema_Status,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
QC_V17_Review_Status,PROVENANCE_QC,METADATA_ONLY,69,100.0,False,EXCLUDE
